R,algorithm,date,iteration,seed,size,β,γ
5,fastSD,20211123111230_922,95041,16376623505689772,80,1.5,0.1
5,fastSD,20211123111238_609,180382,16376623581700780,80,1.5,0.1
5,fastSD,20211123111245_629,49536,16376623655140728,80,1.5,0.1
5,fastSD,20211123111250_708,165630,16376623703418870,80,1.5,0.1
5,fastSD,20211123111255_136,517056,16376623739184300,80,1.5,0.1
5,fastSD,20211123111300_659,180503,16376623802056260,80,1.5,0.1
5,fastSD,20211123111302_281,267379,16376623813639230,80,1.5,0.1
5,fastSD,20211123111347_492,165564,16376624269780390,80,1.5,0.1
5,fastSD,20211123111348_456,100533,16376624282437320,80,1.5,0.1
5,fastSD,20211123111350_26,130889,16376624299641420,80,1.5,0.1
5,fastSD,20211123111351_886,635125,16376624302611470,80,1.5,0.1
5,fastSD,20211123111355_995,192325,16376624355416140,80,1.5,0.1
5,fastSD,20211123111356_063,21052,16376624359967740,80,1.5,0.1
5,fastSD,20211123111357_222,392963,16376624360647690,80,1.5,0.1
5,fastSD,20211123111357_639,171981,16376624372228970,80,1.5,0.1
5,fastSD,20211123111359_043,349654,16376624382099978,80,1.5,0.1
5,fastSD,20211123111403_309,162752,16376624428458950,80,1.5,0.1
5,fastSD,20211123111403_674,155071,16376624433121520,80,1.5,0.1
5,fastSD,20211123111404_111,154853,16376624436751580,80,1.5,0.1
5,fastSD,20211123111416_346,211820,16376624558042610,80,1.5,0.1
5,fastSD,20211123111416_826,173098,16376624563478740,80,1.5,0.1
5,fastSD,20211123111418_029,460923,16376624568279008,80,1.5,0.1
5,fastSD,20211123111419_726,18753,16376624596819400,80,1.5,0.1
5,fastSD,20211123111420_072,131785,16376624597268290,80,1.5,0.1
5,fastSD,20211123111421_858,15490,16376624618255020,80,1.5,0.1
5,fastSD,20211123111423_761,95466,16376624635256750,80,1.5,0.1
5,fastSD,20211123111423_874,44349,16376624637619730,80,1.5,0.1
5,fastSD,20211123111428_163,153078,16376624677533628,80,1.5,0.1
5,fastSD,20211123111429_401,487390,16376624681645880,80,1.5,0.1
5,fastSD,20211123111435_012,116952,16376624747208870,80,1.5,0.1
5,fastSD,20211123111435_489,169302,16376624750792720,80,1.5,0.1
25,fastSD,20211123112300_851,130779,16376629803033340,60,1.5,0.04
25,fastSD,20211123112303_471,141480,16376629831413900,60,1.5,0.04
25,fastSD,20211123112303_834,133838,16376629834831520,60,1.5,0.04
25,fastSD,20211123112304_199,72906,16376629840287530,60,1.5,0.04
25,fastSD,20211123112304_475,121286,16376629842002512,60,1.5,0.04
25,fastSD,20211123112304_968,212632,16376629844760030,60,1.5,0.04
25,fastSD,20211123112306_0,121547,16376629856516890,60,1.5,0.04
25,fastSD,20211123112306_254,118554,16376629860008950,60,1.5,0.04
25,fastSD,20211123112306_383,52985,16376629862547600,60,1.5,0.04
25,fastSD,20211123112307_879,129122,16376629875968650,60,1.5,0.04
25,fastSD,20211123112308_165,121626,16376629878802650,60,1.5,0.04
25,fastSD,20211123112310_211,134854,16376629898869200,60,1.5,0.04
25,fastSD,20211123112310_703,206955,16376629902120990,60,1.5,0.04
25,fastSD,20211123112320_122,128893,16376629998471430,60,1.5,0.04
25,fastSD,20211123112321_974,101171,16376630017190690,60,1.5,0.04
25,fastSD,20211123112323_956,48707,16376630038398650,60,1.5,0.04
25,fastSD,20211123112324_539,125621,16376630042523310,60,1.5,0.04
25,fastSD,20211123112324_847,132569,16376630045408658,60,1.5,0.04
25,fastSD,20211123112325_475,122361,16376630052141630,60,1.5,0.04
25,fastSD,20211123112331_686,127787,16376630114028480,60,1.5,0.04
25,fastSD,20211123112331_701,7777,16376630116875200,60,1.5,0.04
25,fastSD,20211123112332_083,171782,16376630117020380,60,1.5,0.04
