R,algorithm,date,iteration,seed,size
10000,RLSSDstar,20211123101555_458,1613944,16376589521086040,100
10000,RLSSDstar,20211123101607_312,1642898,16376589640829908,100
10000,RLSSDstar,20211123101642_379,1717284,16376589990021492,100
10000,RLSSDstar,20211123101820_302,3040755,16376590936914188,100
10000,RLSSDstar,20211123101829_364,4446805,16376591003035008,100
10000,RLSSDstar,20211123101920_613,1601107,16376591574853410,100
10000,RLSSDstar,20211123102153_992,1621764,16376593107856590,100
10000,RLSSDstar,20211123102310_737,1611686,16376593875689930,100
10000,RLSSDstar,20211123102314_836,1651083,16376593915665892,100
10000,RLSSDstar,20211123102317_928,1586847,16376593948368248,100
10000,RLSSDstar,20211123102347_45,1600327,16376594243102890,100
10000,RLSSDstar,20211123102350_756,1683706,16376594274516510,100
10000,RLSSDstar,20211123102354_225,1759216,16376594307571110,100
10000,RLSSDstar,20211123102405_512,2467657,16376594405917910,100
10000,RLSSDstar,20211123102412_183,1610045,16376594489214252,100
10000,RLSSDstar,20211123102431_294,1593199,16376594674851350,100
10000,RLSSDstar,20211123102535_471,1601795,16376595322171920,100
10000,RLSSDstar,20211123102539_497,1591437,16376595362870030,100
10000,RLSSDstar,20211123102542_764,1584690,16376595394983690,100
10000,RLSSDstar,20211123102546_708,1599161,16376595435328950,100
10000,RLSSDstar,20211123102550_439,1632982,16376595467097740,100
10000,RLSSDstar,20211123102621_385,1584613,16376595781767940,100
10000,RLSSDstar,20211123102625_518,1586233,16376595824390770,100
10000,RLSSDstar,20211123102630_864,2532384,16376595855197020,100
10000,RLSSDstar,20211123102650_533,1691493,16376596068371450,100
10000,RLSSDstar,20211123102912_305,3728169,16376597434738172,100
10000,RLSSDstar,20211123102949_309,1592297,16376597861269578,100
10000,RLSSDstar,20211123102958_588,1588541,16376597955096980,100
10000,RLSSDstar,20211123103041_426,1597657,16376598380183110,100
10000,RLSSDstar,20211123103139_378,1593474,16376598962588710,100
10000,RLSSDstar,20211123103144_646,2468542,16376598993798670,100
10000,RLSSDstar,20211123103244_507,2496993,16376599592041280,100
10000,RLSSDstar,20211123103255_812,4906110,16376599655039188,100
10000,RLSSDstar,20211123103258_958,1589130,16376599758143030,100
10000,RLSSDstar,20211123103317_924,1590799,16376599945462380,100
10000,RLSSDstar,20211123103321_704,1856085,16376599979259700,100
10000,RLSSDstar,20211123103326_694,1632277,16376600032740460,100
10000,RLSSDstar,20211123103357_118,1622687,16376600334322230,100
10000,RLSSDstar,20211123103401_629,1721460,16376600371223710,100
10000,RLSSDstar,20211123103410_779,4156974,16376600416298780,100
10000,RLSSDstar,20211123103431_685,1675669,16376600675421938,100
10000,RLSSDstar,20211123103445_42,1607921,16376600816170550,100
10000,RLSSDstar,20211123103527_968,1589456,16376601241381480,100
10000,RLSSDstar,20211123103533_524,1612775,16376601295426650,100
10000,RLSSDstar,20211123103610_447,1589067,16376601671526780,100
10000,RLSSDstar,20211123103710_879,1811179,16376602274486870,100
10000,RLSSDstar,20211123103840_159,1669165,16376603170280362,100
10000,RLSSDstar,20211123103902_467,9864773,16376603228193610,100
10000,RLSSDstar,20211123103923_8,6558645,16376603510764070,100
10000,RLSSDstar,20211123104010_522,1599853,16376604074090940,100
10000,RLSSDstar,20211123104049_112,1600213,16376604461202372,100
10000,RLSSDstar,20211123104236_304,1922800,16376605519647688,100
10000,RLSSDstar,20211123104240_677,1663991,16376605570756270,100
10000,RLSSDstar,20211123104333_965,1619274,16376606108697090,100
10000,RLSSDstar,20211123104413_14,1599602,16376606496638970,100
10000,RLSSDstar,20211123104416_57,1604689,16376606531411650,100
10000,RLSSDstar,20211123104419_783,1597795,16376606565711630,100
10000,RLSSDstar,20211123104427_347,1604422,16376606641357542,100
10000,RLSSDstar,20211123104440_582,1630515,16376606772385110,100
10000,RLSSDstar,20211123104444_565,1586220,16376606811905060,100
10000,RLSSDstar,20211123104513_167,1589834,16376607094996260,100
10000,RLSSDstar,20211123104550_958,1648292,16376607477168960,100
10000,RLSSDstar,20211123104554_202,1588393,16376607509591010,100
10000,RLSSDstar,20211123104557_577,1594909,16376607542027650,100
10000,RLSSDstar,20211123104607_847,4817897,16376607575780460,100
10000,RLSSDstar,20211123104655_171,3868941,16376608070318130,100
10000,RLSSDstar,20211123104823_007,1649869,16376608995800960,100
10000,RLSSDstar,20211123104826_44,1628186,16376609030275090,100
10000,RLSSDstar,20211123105001_59,1596782,16376609983478200,100
10000,RLSSDstar,20211123105040_369,2135446,16376610362171760,100
10000,RLSSDstar,20211123105137_989,8117523,16376610814286780,100
10000,RLSSDstar,20211123105203_324,1949747,16376611193886768,100
10000,RLSSDstar,20211123105237_746,5592023,16376611467177150,100
10000,RLSSDstar,20211123105242_274,1622307,16376611589840630,100
10000,RLSSDstar,20211123105245_284,1584383,16376611622753810,100
6400,RLSSDstar,20211123105856_432,787462,16376615343899282,80
6400,RLSSDstar,20211123105859_293,1131587,16376615366298090,80
6400,RLSSDstar,20211123105915_811,810279,16376615539154962,80
6400,RLSSDstar,20211123105921_056,778820,16376615593270882,80
6400,RLSSDstar,20211123105922_957,867430,16376615610572590,80
