R,algorithm,date,iteration,seed,size
10000,ea1p1SD,20220109121731_518,220551,16417180509209550,100
10000,ea1p1SD,20220109121731_526,1923,16417180515221830,100
10000,ea1p1SD,20220109122456_725,144074475,16417180522237790,100
10000,ea1p1SD,20220109122800_82,40181,16417186807344552,100
10000,ea1p1SD,20220109125044_979,785979,16417200428108170,100
10000,ea1p1SD,20220109125411_705,1246390,16417202481293470,100
10000,ea1p1SD,20220109125431_367,346156,16417202704793848,100
10000,ea1p1SD,20220109125932_816,29780,16417205727535000,100
10000,ea1p1SD,20220109130417_301,449633,16417208562209280,100
10000,ea1p1SD,20220109130539_552,12729576,16417209051629940,100
10000,ea1p1SD,20220109130618_288,1217,16417209782863980,100
10000,ea1p1SD,20220109130635_923,1888048,16417209905933680,100
10000,ea1p1SD,20220109130636_019,43964,16417209959251290,100
10000,ea1p1SD,20220109130654_302,5618787,16417209960204762,100
10000,ea1p1SD,20220109130702_212,2248,16417210222080150,100
10000,ea1p1SD,20220109130857_044,855157,16417211348533550,100
10000,ea1p1SD,20220109130857_058,6219,16417211370477740,100
10000,ea1p1SD,20220109131256_145,16480034,16417213276852000,100
10000,ea1p1SD,20220109131429_087,84153,16417214688535358,100
10000,ea1p1SD,20220109131430_135,3671,16417214701274570,100
10000,ea1p1SD,20220109131604_181,1013,16417215641784060,100
10000,ea1p1SD,20220109131605_395,459440,16417215642139620,100
10000,ea1p1SD,20220109131606_465,119324,16417215661773952,100
10000,ea1p1SD,20220109131824_782,29795237,16417216120350720,100
10000,ea1p1SD,20220109131912_438,288189,16417217517296360,100
10000,ea1p1SD,20220109131912_852,16214,16417217528160520,100
10000,ea1p1SD,20220109132001_88,1028,16417218018782188,100
10000,ea1p1SD,20220109132029_87,8321364,16417218044975130,100
10000,ea1p1SD,20220109132030_656,279243,16417218299146950,100
10000,ea1p1SD,20220109132058_227,325649,16417218573879550,100
10000,ea1p1SD,20220109132058_249,10745,16417218582287210,100
10000,ea1p1SD,20220109132133_367,292089,16417218926328640,100
10000,ea1p1SD,20220109132133_378,5690,16417218933677640,100
10000,ea1p1SD,20220109132150_191,1358,16417219101885800,100
10000,ea1p1SD,20220109132232_018,14871253,16417219127198132,100
10000,ea1p1SD,20220109132244_997,25533,16417219649320820,100
10000,ea1p1SD,20220109132353_23,1982,16417220332264330,100
10000,ea1p1SD,20220109143515_594,11278709,16417262861455850,100
6400,ea1p1SD,20220109143548_728,9166529,16417263223560678,80
3600,ea1p1SD,20220109143626_216,2323529,16417263791309760,60
10000,ea1p1SD,20220109143903_368,7269001,16417265221183370,100
10000,ea1p1SD,20220109143949_316,12022485,16417265515835618,100
6400,ea1p1SD,20220109144028_518,11960404,16417265941595830,80
10000,ea1p1SD,20220109144216_757,33634344,16417266353109240,100
6400,ea1p1SD,20220109144237_582,2547400,16417267503708342,80
6400,ea1p1SD,20220109144342_68,3798513,16417268117264770,80
3600,ea1p1SD,20220109144546_0,914998,16417269433749210,60
3600,ea1p1SD,20220109144550_205,529716,16417269488392610,60
6400,ea1p1SD,20220109144619_453,66137,16417269792890160,80
3600,ea1p1SD,20220109145018_364,816957,16417272158303370,60
3600,ea1p1SD,20220109145036_724,183701,16417272362330890,60
10000,ea1p1SD,20220109145225_348,9875703,16417273164133560,100
10000,ea1p1SD,20220207110600_02,191570,16442283596012160,100
10000,ea1p1SD,20220207110610_27,322784,16442283696044930,100
10000,ea1p1SD,20220207110617_84,713780,16442283761616440,100
10000,ea1p1SD,20220207110832_848,154916,16442285125335860,100
10000,ea1p1SD,20220207110836_499,229333,16442285160368090,100
10000,ea1p1SD,20220207111551_451,251102,16442289508679840,100
10000,ea1p1SD,20220207111551_616,71867,16442289514607760,100
10000,ea1p1SD,20220207111556_138,266500,16442289555984750,100
10000,ea1p1SD,20220207111704_253,5131831,16442290123333280,100
10000,ea1p1SD,20220207124335_63,14508,16442342155822660,100
10000,ea1p1SD,20220207124335_709,23319,16442342156341910,100
10000,ea1p1SD,20220207124348_716,112404,16442342284694810,100
10000,ea1p1SD,20220207124724_145,69524,16442344439696130,100
10000,ea1p1SD,20220207124735_077,161013,16442344547104080,100
10000,ea1p1SD,20220207124739_276,75462,16442344591067950,100
10000,ea1p1SD,20220207124930_17,25334,16442345701020100,100
10000,ea1p1SD,20220207124942_681,313652,16442345819466130,100
10000,ea1p1SD,20220207124947_021,301872,16442345863397240,100
10000,ea1p1SD,20220207125123_711,559750,16442346823607180,100
10000,ea1p1SD,20220207125125_097,14754,16442346850504820,100
10000,ea1p1SD,20220207125134_978,148006,16442346946324080,100
10000,ea1p1SD,20220207125535_034,89603,16442349347841440,100
10000,ea1p1SD,20220207125536_759,344771,16442349358678450,100
10000,ea1p1SD,20220207125549_164,69993,16442349490072980,100
10000,ea1p1SD,20220207130441_619,174581,16442354812202630,100
10000,ea1p1SD,20220207130447_695,166634,16442354873462182,100
10000,ea1p1SD,20220207130447_78,35460,16442354876968610,100
10000,ea1p1SD,20220211122030_253,82935,16445784298484200,100
