algorithm,date,iteration,seed,size
ea1p1,20211119180754_632,39878,16373416745844430,100
ea1p1,20211119180754_913,6825,16373416748966510,100
ea1p1,20211119180754_928,12009,16373416749145910,100
ea1p1,20211119180755_063,48370,16373416749296620,100
ea1p1,20211119180755_924,305323,16373416751400270,100
ea1p1,20211119180756_253,129258,16373416759257160,100
ea1p1,20211119180758_727,949901,16373416762729420,100
ea1p1,20211119180759_013,54282,16373416789317290,100
ea1p1,20211119180759_138,51027,16373416790145480,100
ea1p1,20211119180759_501,216618,16373416792357850,100
ea1p1,20211119180759_696,38697,16373416796020542,100
ea1p1,20211119180759_719,17288,16373416796969820,100
ea1p1,20211119180759_872,118833,16373416797198010,100
ea1p1,20211119180800_119,26499,16373416800870060,100
ea1p1,20211119180800_121,1146,16373416801197490,100
ea1p1,20211119180801_222,341692,16373416803169610,100
ea1p1,20211119180801_344,9978,16373416812982180,100
ea1p1,20211119180801_963,43712,16373416818522330,100
ea1p1,20211119180802_272,47517,16373416821537960,100
ea1p1,20211119180803_216,348676,16373416822733632,100
ea1p1,20211119180803_228,10251,16373416832168910,100
ea1p1,20211119180803_632,266831,16373416833159130,100
ea1p1,20211119180804_194,18507,16373416841724820,100
ea1p1,20211119180805_038,318282,16373416841949210,100
ea1p1,20211119180805_233,13722,16373416852154328,100
ea1p1,20211119180805_4,5940,16373416853741500,100
ea1p1,20211119180805_722,201898,16373416854768590,100
ea1p1,20211119180805_832,37148,16373416857233300,100
ea1p1,20211119180805_848,12422,16373416858337030,100
ea1p1,20211119180805_924,64178,16373416858493840,100
ea1p1,20211119180807_28,1018852,16373416860338150,100
ea1p1,20211119180807_587,15842,16373416875475472,100
ea1p1,20211119180807_757,59190,16373416876691800,100
ea1p1,20211119180807_888,20153,16373416878442270,100
ea1p1,20211119180807_983,38237,16373416878893710,100
ea1p1,20211119180808_009,9959,16373416879848670,100
ea1p1,20211119180808_042,12526,16373416880105050,100
ea1p1,20211119180808_045,1701,16373416880430720,100
ea1p1,20211119180808_188,51592,16373416880459940,100
ea1p1,20211119180808_193,4281,16373416881890700,100
ea1p1,20211119180808_324,46742,16373416881947120,100
ea1p1,20211119180808_345,6894,16373416883255250,100
ea1p1,20211119180808_454,44981,16373416883460870,100
ea1p1,20211119180808_495,16162,16373416884555200,100
ea1p1,20211119180808_863,23587,16373416888353980,100
ea1p1,20211119180808_866,1518,16373416888640730,100
ea1p1,20211119180808_909,9408,16373416888669570,100
ea1p1,20211119180809_111,22225,16373416890637630,100
ea1p1,20211119180809_124,4339,16373416891128970,100
ea1p1,20211119180814_989,2235456,16373416891252490,100
ea1p1,20211119180815_243,209019,16373416949899420,100
ea1p1,20211119180817_594,908172,16373416952438682,100
ea1p1,20211119180817_955,23762,16373416979272180,100
ea1p1,20211119180818_337,311774,16373416979559390,100
ea1p1,20211119180818_465,94482,16373416983379380,100
ea1p1,20211119180818_51,17383,16373416984665840,100
ea1p1,20211119180818_528,6990,16373416985111238,100
ea1p1,20211119180819_772,482142,16373416985297320,100
ea1p1,20211119180819_915,20882,16373416998620210,100
ea1p1,20211119180820_42,17025,16373417003762300,100
ea1p1,20211119180820_52,71028,16373417004215630,100
ea1p1,20211119180820_528,2728,16373417005217900,100
